===========================================================================
 Inst     n     p      Ótimo   Heurística   Gap (%)  Tempo (s)
===========================================================================
    1    100      5      5819.0        5814.0     -0.09%      0.004s
    2    100     10      4093.0        4315.0      5.42%      0.008s
    3    100     10      4250.0        4572.0      7.58%      0.008s
    4    100     20      3034.0        3039.0      0.16%      0.017s
    5    100     33      1355.0        1378.0      1.70%      0.025s
    6    200      5      7824.0        7890.0      0.84%      0.020s
    7    200     10      5631.0        5706.0      1.33%      0.042s
    8    200     20      4445.0        4517.0      1.62%      0.075s
    9    200     40      2734.0        2784.0      1.83%      0.142s
   10    200     67      1255.0        1293.0      3.03%      0.218s
   11    300      5      7696.0        7897.0      2.61%      0.083s
   12    300     10      6634.0        6701.0      1.01%      0.169s
   13    300     30      4374.0        4439.0      1.49%      0.428s
   14    300     60      2968.0        3006.0      1.28%      0.847s
   15    300    100      1729.0        1725.0     -0.23%      1.137s
   16    400      5      8162.0        8315.0      1.87%      0.136s
   17    400     10      6999.0        7091.0      1.31%      0.257s
   18    400     40      4809.0        4726.0     -1.73%      1.000s
   19    400     80      2845.0        2897.0      1.83%      1.818s
   20    400    133      1789.0        1845.0      3.13%      2.774s
   21    500      5      9138.0        9495.0      3.91%      0.225s
   22    500      5      8579.0        9495.0     10.68%      0.233s
   23    500     50      4619.0        4590.0     -0.63%      2.141s
   24    500    100      2961.0        2946.0     -0.51%      3.991s
   25    500    167      1828.0        1877.0      2.68%      7.075s
   26    600      5      9917.0        9965.0      0.48%      0.366s
   27    600     10      8307.0        8338.0      0.37%      0.731s
   28    600     60      4498.0        4503.0      0.11%      4.047s
   29    600    120      3033.0        3069.0      1.19%      7.740s
   30    600    200      1989.0        1991.0      0.10%     12.923s
   31    700      5     10086.0       10339.0      2.51%      0.466s
   32    700     10      9297.0        9447.0      1.61%      0.983s
   33    700     70      4700.0        4712.0      0.26%      7.088s
   34    700    140      3013.0        2998.0     -0.50%     13.104s
   35    800      5     10400.0       10491.0      0.88%      0.718s
   36    800     10      9934.0       10041.0      1.08%      1.428s
   37    800     80      5057.0        5051.0     -0.12%     11.104s
   38    900      5     11060.0       11343.0      2.56%      0.885s
   39    900     10      9423.0        9575.0      1.61%      1.825s
   40    900     90      5128.0        5122.0     -0.12%     16.088s
===========================================================================
  Gap médio: 1.60%  (40 instâncias)
===========================================================================
